ensembl_gene_id	gene_symbol	entrez_gene_id	hgnc_id	gene_biotype	synonyms	chromosome	description
ENSG00000080986	NDC80	10403	HGNC:16909	protein_coding	HEC|HEC1|KNTC2|TID3|hsNDC80	18	NDC80 kinetochore complex component
ENSG00000081014	AP4E1	23431	HGNC:573	protein_coding	AP-4-EPSILON|AP4EPSILON|SPG51	15	adaptor related protein complex 4 subunit epsilon 1
ENSG00000081019	RSBN1	54665	HGNC:25642	protein_coding	FLJ11220|KDM9|ROSBIN	1	round spermatid basic protein 1
ENSG00000081026	MAGI3	260425	HGNC:29647	protein_coding	MAGI-3	1	membrane associated guanylate kinase, WW and PDZ domain containing 3
ENSG00000081041	CXCL2	2920	HGNC:4603	protein_coding	CINC-2a|CINC2a|GRO2|GROb|MGSA-b|MGSAb|MIP-2a|MIP2a|SCYB2	4	C-X-C motif chemokine ligand 2
ENSG00000081051	AFP	174	HGNC:317	protein_coding	FETA|HPAFP	4	alpha fetoprotein
ENSG00000081052	COL4A4	1286	HGNC:2206	protein_coding	CA44	2	collagen type IV alpha 4 chain
ENSG00000081059	TCF7	6932	HGNC:11639	protein_coding	TCF-1|TCF1	5	transcription factor 7
ENSG00000081087	OSTM1	28962	HGNC:21652	protein_coding	GL|HSPC019	6	osteoclastogenesis associated transmembrane protein 1
ENSG00000081138	CDH7	1005	HGNC:1766	protein_coding		18	cadherin 7
ENSG00000081148	IMPG2	50939	HGNC:18362	protein_coding	IPM200|RP56|SPACRCAN	3	interphotoreceptor matrix proteoglycan 2
ENSG00000081154	PCNP	57092	HGNC:30023	protein_coding		3	PEST proteolytic signal containing nuclear protein
ENSG00000081177	EXD2	55218	HGNC:20217	protein_coding	C14orf114|EXDL2|FLJ10738	14	exonuclease 3'-5' domain containing 2
ENSG00000081181	ARG2	384	HGNC:664	protein_coding		14	arginase 2
ENSG00000081189	MEF2C	4208	HGNC:6996	protein_coding		5	myocyte enhancer factor 2C
ENSG00000081237	PTPRC	5788	HGNC:9666	protein_coding	B220|CD45|CD45R|GP180|LCA|LY5|T200	1	protein tyrosine phosphatase receptor type C
ENSG00000081248	CACNA1S	779	HGNC:1397	protein_coding	CACNL1A3|Cav1.1|HOKPP|MHS5|hypoPP	1	calcium voltage-gated channel subunit alpha1 S
ENSG00000081277	PKP1	5317	HGNC:9023	protein_coding	B6P	1	plakophilin 1
ENSG00000081307	UBA5	79876	HGNC:23230	protein_coding	FLJ23251|UBE1DC1	3	ubiquitin like modifier activating enzyme 5
ENSG00000081320	STK17B	9262	HGNC:11396	protein_coding	DRAK2	2	serine/threonine kinase 17b
ENSG00000081377	CDC14B	8555	HGNC:1719	protein_coding	CDC14B3|Cdc14B1|Cdc14B2|hCDC14B	9	cell division cycle 14B
ENSG00000081386	ZNF510	22869	HGNC:29161	protein_coding	KIAA0972	9	zinc finger protein 510
ENSG00000081479	LRP2	4036	HGNC:6694	protein_coding	DBS|gp330	2	LDL receptor related protein 2
ENSG00000081665	ZNF506	440515	HGNC:23780	protein_coding	DKFZp761G1812	19	zinc finger protein 506
ENSG00000081692	JMJD4	65094	HGNC:25724	protein_coding	FLJ12517	1	jumonji domain containing 4
ENSG00000081721	DUSP12	11266	HGNC:3067	protein_coding	DUSP1|YVH1	1	dual specificity phosphatase 12
