ensembl_gene_id	gene_symbol	entrez_gene_id	hgnc_id	gene_biotype	synonyms	chromosome	description
ENSG00000000003	TSPAN6	7105	HGNC:11858	protein_coding	T245|TM4SF6|TSPAN-6	X	tetraspanin 6
ENSG00000000005	TNMD	64102	HGNC:17757	protein_coding	BRICD4|ChM1L|TEM|myodulin|tendin	X	tenomodulin
ENSG00000000419	DPM1	8813	HGNC:3005	protein_coding	CDGIE|MPDS	20	dolichyl-phosphate mannosyltransferase subunit 1, catalytic
ENSG00000000457	SCYL3	57147	HGNC:19285	protein_coding	PACE-1|PACE1	1	SCY1 like pseudokinase 3
ENSG00000000460	FIRRM	55732	HGNC:25565	protein_coding	Apolo1|C1orf112|FLIP|FLJ10706|MEICA1	1	FIGNL1 interacting regulator of recombination and mitosis
ENSG00000000938	FGR	2268	HGNC:3697	protein_coding	SRC2|c-fgr|cfgr|p55c-fgr|p55cfgr	1	FGR proto-oncogene, Src family tyrosine kinase
ENSG00000000971	CFH	3075	HGNC:4883	protein_coding	ARMD4|ARMS1|FHL1|HF|HF1|HF2|HUS	1	complement factor H
ENSG00000001036	FUCA2	2519	HGNC:4008	protein_coding	MGC1314|dJ20N2.5	6	alpha-L-fucosidase 2
ENSG00000001084	GCLC	2729	HGNC:4311	protein_coding	GCS|GLCL|GLCLC	6	glutamate-cysteine ligase catalytic subunit
ENSG00000001167	NFYA	4800	HGNC:7804	protein_coding	CBF-B|CBFB|HAP2|NF-YA	6	nuclear transcription factor Y subunit alpha
ENSG00000001460	STPG1	90529	HGNC:28070	protein_coding	C1orf201|FLJ33340|MAPO2	1	sperm tail PG-rich repeat containing 1
ENSG00000001461	NIPAL3	57185	HGNC:25233	protein_coding	DJ462O23.2|NPAL3|SLC57A5	1	NIPA like domain containing 3
ENSG00000001497	LAS1L	81887	HGNC:25726	protein_coding	FLJ12525|Las1	X	LAS1 like ribosome biogenesis factor
ENSG00000001561	ENPP4	22875	HGNC:3359	protein_coding	AP3Aase|KIAA0879|NPP4	6	ectonucleotide pyrophosphatase/phosphodiesterase 4
ENSG00000001617	SEMA3F	6405	HGNC:10728	protein_coding	SEMAK|Sema4	3	semaphorin 3F
ENSG00000001626	CFTR	1080	HGNC:1884	protein_coding	ABC35|ABCC7|CF|CFTR/MRP|MRP7|TNR-CFTR|TNRCFTR|dJ760C5.1	7	CF transmembrane conductance regulator
ENSG00000001629	ANKIB1	54467	HGNC:22215	protein_coding	DKFZP434A0225|KIAA1386	7	ankyrin repeat and IBR domain containing 1
ENSG00000001630	CYP51A1	1595	HGNC:2649	protein_coding	CP51|CYP51|CYPL1|LDM|P450-14DM|P45014DM|P450L1	7	cytochrome P450 family 51 subfamily A member 1
ENSG00000001631	KRIT1	889	HGNC:1573	protein_coding	CAM|CCM1	7	KRIT1 ankyrin repeat containing
ENSG00000002016	RAD52	5893	HGNC:9824	protein_coding		12	RAD52 DNA repair protein
ENSG00000002079				transcribed_unitary_pseudogene		7	
ENSG00000002330	BAD	572	HGNC:936	protein_coding	BBC2|BCL2L8	11	BCL2 associated agonist of cell death
ENSG00000002549	LAP3	51056	HGNC:18449	protein_coding	LAP|LAPEP|PEPS	4	leucine aminopeptidase 3
ENSG00000002586	CD99	4267	HGNC:7082	protein_coding	MIC2|MIC2X|MIC2Y	X	CD99 molecule (Xg blood group)
ENSG00000002587	HS3ST1	9957	HGNC:5194	protein_coding	3OST1	4	heparan sulfate-glucosamine 3-sulfotransferase 1
ENSG00000002726	AOC1	26	HGNC:80	protein_coding	ABP|ABP1|DAO	7	amine oxidase copper containing 1
ENSG00000002745	WNT16	51384	HGNC:16267	protein_coding		7	Wnt family member 16
ENSG00000002746	HECW1	23072	HGNC:22195	protein_coding	KIAA0322|NEDL1	7	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
ENSG00000002822	MAD1L1	8379	HGNC:6762	protein_coding	HsMAD1|MAD1|PIG9|TP53I9|TXBP181	7	mitotic arrest deficient 1 like 1
ENSG00000002834	LASP1	3927	HGNC:6513	protein_coding	Lasp-1|Lasp1|MLN50	17	LIM and SH3 protein 1
ENSG00000002919	SNX11	29916	HGNC:14975	protein_coding		17	sorting nexin 11
ENSG00000002933	TMEM176A	55365	HGNC:24930	protein_coding	HCA112|MS4B1	7	transmembrane protein 176A
ENSG00000003056	M6PR	4074	HGNC:6752	protein_coding	CD-M6PR|CD-MPR|CDM6PR|CDMPR	12	mannose-6-phosphate receptor, cation dependent
ENSG00000003096	KLHL13	90293	HGNC:22931	protein_coding	BKLHD2|FLJ10262|KIAA1309	X	kelch like family member 13
ENSG00000003137	CYP26B1	56603	HGNC:20581	protein_coding	P450RAI-2|P450RAI2	2	cytochrome P450 family 26 subfamily B member 1
ENSG00000003147	ICA1	3382	HGNC:5343	protein_coding	ICA69|ICAp69	7	islet cell autoantigen 1
ENSG00000003249	DBNDD1	79007	HGNC:28455	protein_coding	FLJ12582|MGC3101	16	dysbindin domain containing 1
ENSG00000003393	ALS2	57679	HGNC:443	protein_coding	ALS2CR6	2	alsin Rho guanine nucleotide exchange factor ALS2
ENSG00000003400	CASP10	843	HGNC:1500	protein_coding	FLICE-2|FLICE2|MCH4	2	caspase 10
ENSG00000003402	CFLAR	8837	HGNC:1876	protein_coding	CASH|CASP8AP1|CLARP|Casper|FLAME|FLIP|I-FLICE|IFLICE|MRIT|c-FLIP|cFLIP	2	CASP8 and FADD like apoptosis regulator
ENSG00000003436	TFPI	7035	HGNC:11760	protein_coding	EPI|LACI|TFI|TFPI1	2	tissue factor pathway inhibitor
ENSG00000003509	NDUFAF7	55471	HGNC:28816	protein_coding	C2orf56|MidA|PRO1853	2	NADH:ubiquinone oxidoreductase complex assembly factor 7
ENSG00000003756	RBM5	10181	HGNC:9902	protein_coding	H37|LUCA-15|LUCA15	3	RNA binding motif protein 5
ENSG00000003987	MTMR7	9108	HGNC:7454	protein_coding		8	myotubularin related protein 7
ENSG00000003989	SLC7A2	6542	HGNC:11060	protein_coding	ATRC2|CAT-2|CAT-2A|CAT-2B|CAT2|CAT2A|CAT2B|HCAT2|SLC7A2A|SLC7A2B	8	solute carrier family 7 member 2
ENSG00000004059	ARF5	381	HGNC:658	protein_coding		7	ARF GTPase 5
ENSG00000004139	SARM1	23098	HGNC:17074	protein_coding	KIAA0524|SAMD2|SARM	17	sterile alpha and TIR motif containing 1
ENSG00000004142	POLDIP2	26073	HGNC:23781	protein_coding	DKFZP586F1524|PDIP38	17	DNA polymerase delta interacting protein 2
ENSG00000004399	PLXND1	23129	HGNC:9107	protein_coding	KIAA0620	3	plexin D1
ENSG00000004455	AK2	204	HGNC:362	protein_coding		1	adenylate kinase 2
ENSG00000004468	CD38	952	HGNC:1667	protein_coding	cADPR1	4	CD38 molecule
ENSG00000004478	FKBP4	2288	HGNC:3720	protein_coding	FKBP52|FKBP59	12	FKBP prolyl isomerase 4
ENSG00000004487	KDM1A	23028	HGNC:29079	protein_coding	AOF2|BHC110|KDM1|KIAA0601|LSD1	1	lysine demethylase 1A
ENSG00000004534	RBM6	10180	HGNC:9903	protein_coding	3G2|DEF-3|DEF3|NY-LU-12|NYLU12|g16	3	RNA binding motif protein 6
ENSG00000004660	CAMKK1	84254	HGNC:1469	protein_coding	CAMKKA|DKFZp761M0423|MGC34095	17	calcium/calmodulin dependent protein kinase kinase 1
ENSG00000004700	RECQL	5965	HGNC:9948	protein_coding	RecQ1|RecQL1	12	RecQ like helicase
ENSG00000004766	VPS50	55610	HGNC:25956	protein_coding	CCDC132|DKFZp313I2429|FLJ20097|KIAA1861|VPS54L	7	VPS50 subunit of EARP/GARPII complex
ENSG00000004776	HSPB6	126393	HGNC:26511	protein_coding	FLJ32389|Hsp20|PPP1R91	19	heat shock protein family B (small) member 6
ENSG00000004777	ARHGAP33	115703	HGNC:23085	protein_coding	FLJ39019|SNX26|TCGAP	19	Rho GTPase activating protein 33
ENSG00000004779	NDUFAB1	4706	HGNC:7694	protein_coding	ACP|ACP1|FASN2A|SDAP|mt-ACP|mtACP	16	NADH:ubiquinone oxidoreductase subunit AB1
ENSG00000004799	PDK4	5166	HGNC:8812	protein_coding		7	pyruvate dehydrogenase kinase 4
ENSG00000004809	SLC22A16	85413	HGNC:20302	protein_coding	CT2|FLIPT2|OAT6|OKB1	6	solute carrier family 22 member 16
ENSG00000004838	ZMYND10	51364	HGNC:19412	protein_coding	BLU|CILD22|DNAAF7	3	zinc finger MYND-type containing 10
ENSG00000004846	ABCB5	340273	HGNC:46	protein_coding	ABCB5alpha|ABCB5beta|EST422562	7	ATP binding cassette subfamily B member 5
ENSG00000004848	ARX	170302	HGNC:18060	protein_coding	CT121|EIEE1|ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS	X	aristaless related homeobox
ENSG00000004864	SLC25A13	10165	HGNC:10983	protein_coding	ARALAR2|CITRIN|CTLN2	7	solute carrier family 25 member 13
ENSG00000004866	ST7	7982	HGNC:11351	protein_coding	ETS7q|FAM4A|FAM4A1|HELG|RAY1|SEN4|TSG7	7	suppression of tumorigenicity 7
ENSG00000004897	CDC27	996	HGNC:1728	protein_coding	ANAPC3|APC3|D0S1430E|D17S978E|NUC2	17	cell division cycle 27
ENSG00000004939	SLC4A1	6521	HGNC:11027	protein_coding	AE1|CD233|DI|EMPB3|EPB3|FR|RTA1A|SW|WD|WR	17	solute carrier family 4 member 1 (Diego blood group)
ENSG00000004948	CALCR	799	HGNC:1440	protein_coding	CT-R|CTR	7	calcitonin receptor
ENSG00000004961	HCCS	3052	HGNC:4837	protein_coding	CCHL|MLS	X	holocytochrome c synthase
ENSG00000004975	DVL2	1856	HGNC:3086	protein_coding		17	dishevelled segment polarity protein 2
ENSG00000005001	PRSS22	64063	HGNC:14368	protein_coding	BSSP-4|BSSP4|SP001LA|TPSE1|hBSSP-4|hBSSP4	16	serine protease 22
ENSG00000005007	UPF1	5976	HGNC:9962	protein_coding	HUPF1|KIAA0221|NORF1|RENT1|pNORF1|smg-2|smg2	19	UPF1 RNA helicase and ATPase
ENSG00000005020	SKAP2	8935	HGNC:15687	protein_coding	RA70|SAPS|SCAP2|SKAP-HOM|SKAP55R|SKAPHOM	7	src kinase associated phosphoprotein 2
ENSG00000005022	SLC25A5	292	HGNC:10991	protein_coding	2F1|ANT2|T2|T3	X	solute carrier family 25 member 5
ENSG00000005059	MCUB	55013	HGNC:26076	protein_coding	CCDC109B|FLJ20647	4	mitochondrial calcium uniporter dominant negative subunit beta
ENSG00000005073	HOXA11	3207	HGNC:5101	protein_coding	HOX1|HOX1I	7	homeobox A11
ENSG00000005075	POLR2J	5439	HGNC:9197	protein_coding	POLR2J1|RPB11|RPB11A|RPB11m|hRPB14	7	RNA polymerase II subunit J
ENSG00000005100	DHX33	56919	HGNC:16718	protein_coding	DDX33|DKFZp762F2011|FLJ21972	17	DEAH-box helicase 33
ENSG00000005102	MEOX1	4222	HGNC:7013	protein_coding	MOX1	17	mesenchyme homeobox 1
ENSG00000005108	THSD7A	221981	HGNC:22207	protein_coding	KIAA0960	7	thrombospondin type 1 domain containing 7A
ENSG00000005156	LIG3	3980	HGNC:6600	protein_coding	LIG2|LIG3alpha	17	DNA ligase 3
ENSG00000005175	RPAP3	79657	HGNC:26151	protein_coding	FLJ21908|Tah1|hSpagh|spag	12	RNA polymerase II associated protein 3
ENSG00000005187	ACSM3	6296	HGNC:10522	protein_coding	SA|SAH	16	acyl-CoA synthetase medium chain family member 3
ENSG00000005189	REXO5	81691	HGNC:24661	protein_coding	NEF-sp|NEFsp	16	RNA exonuclease 5
ENSG00000005194	CIAPIN1	57019	HGNC:28050	protein_coding	CIAE2	16	cytokine induced apoptosis inhibitor 1
ENSG00000005206	SPPL2B	56928	HGNC:30627	protein_coding	IMP4|KIAA1532|PSL1	19	signal peptide peptidase like 2B
ENSG00000005238	ATOSB	80256	HGNC:25666	protein_coding	FAM214B|FLJ11560|KIAA1539|bA182N22.6	9	atos homolog B
ENSG00000005243	COPZ2	51226	HGNC:19356	protein_coding	MGC23008	17	coat protein complex I subunit zeta 2
ENSG00000005249	PRKAR2B	5577	HGNC:9392	protein_coding	PRKAR2	7	protein kinase cAMP-dependent type II regulatory subunit beta
ENSG00000005302	MSL3	10943	HGNC:7370	protein_coding	MSL3L1	X	MSL complex subunit 3
ENSG00000005339	CREBBP	1387	HGNC:2348	protein_coding	CBP|KAT3A|RSTS|RTS	16	CREB binding lysine acetyltransferase
ENSG00000005379	TSPOAP1	9256	HGNC:16831	protein_coding	BZRAP1|KIAA0612|PRAX-1|PRAX1|RIM-BP1|RIMBP1	17	TSPO associated protein 1
ENSG00000005381	MPO	4353	HGNC:7218	protein_coding		17	myeloperoxidase
ENSG00000005421	PON1	5444	HGNC:9204	protein_coding	ESA|PON	7	paraoxonase 1
ENSG00000005436	GCFC2	6936	HGNC:1317	protein_coding	C2orf3|DNABF|GCF|TCF9	2	GC-rich sequence DNA-binding factor 2
ENSG00000005448	WDR54	84058	HGNC:25770	protein_coding	FLJ12953	2	WD repeat domain 54
ENSG00000005469	CROT	54677	HGNC:2366	protein_coding	COT	7	carnitine O-octanoyltransferase
ENSG00000005471	ABCB4	5244	HGNC:45	protein_coding	GBD1|MDR2|MDR3|PFIC-3|PFIC3|PGY3	7	ATP binding cassette subfamily B member 4
ENSG00000005483	KMT2E	55904	HGNC:18541	protein_coding	HDCMC04P|MLL5|SETD5B	7	lysine methyltransferase 2E (inactive)
ENSG00000005486	RHBDD2	57414	HGNC:23082	protein_coding	NPD007|RHBDL7	7	rhomboid domain containing 2
ENSG00000005513	SOX8	30812	HGNC:11203	protein_coding		16	SRY-box transcription factor 8
ENSG00000005700	IBTK	25998	HGNC:17853	protein_coding	BTBD26|BTKI|DKFZP564B116	6	inhibitor of Bruton tyrosine kinase
ENSG00000005801	ZNF195	7748	HGNC:12986	protein_coding		11	zinc finger protein 195
ENSG00000005810	MYCBP2	23077	HGNC:23386	protein_coding	FLJ10106|KIAA0916|PAM|PHR1	13	MYC binding protein 2
ENSG00000005812	FBXL3	26224	HGNC:13599	protein_coding	FBL3|FBL3A|FBXL3A	13	F-box and leucine rich repeat protein 3
ENSG00000005844	ITGAL	3683	HGNC:6148	protein_coding	CD11A|HNA-5|HNA5|LFA-1|LFA1|LFA1A	16	integrin subunit alpha L
ENSG00000005882	PDK2	5164	HGNC:8810	protein_coding	PDHK2	17	pyruvate dehydrogenase kinase 2
ENSG00000005884	ITGA3	3675	HGNC:6139	protein_coding	CD49c|GAP-B3|GAPB3|MSK18|VCA-2|VCA2|VLA3a	17	integrin subunit alpha 3
ENSG00000005889	ZFX	7543	HGNC:12869	protein_coding	ZNF926	X	zinc finger protein X-linked
ENSG00000005893	LAMP2	3920	HGNC:6501	protein_coding	CD107b	X	lysosome associated membrane protein 2
ENSG00000005961	ITGA2B	3674	HGNC:6138	protein_coding	CD41|CD41B|GP2B|GPIIb|PPP1R93	17	integrin subunit alpha 2b
ENSG00000005981	ASB4	51666	HGNC:16009	protein_coding	ASB-4	7	ankyrin repeat and SOCS box containing 4
ENSG00000006007	GDE1	51573	HGNC:29644	protein_coding	MIR16	16	glycerophosphodiester phosphodiesterase 1
ENSG00000006015	REX1BD	55049	HGNC:26098	protein_coding	C19orf60|FLJ20850|FLJ30108|FLJ34606|FLJ37391	19	required for excision 1-B domain containing
ENSG00000006016	CRLF1	9244	HGNC:2364	protein_coding	CISS|CISS1|CLF|CLF-1|CLF1	19	cytokine receptor like factor 1
ENSG00000006025	OSBPL7	114881	HGNC:16387	protein_coding	MGC71150|ORP7	17	oxysterol binding protein like 7
ENSG00000006042	TMEM98	26022	HGNC:24529	protein_coding	DKFZP564K1964	17	transmembrane protein 98
ENSG00000006047	YBX2	51087	HGNC:17948	protein_coding	CSDA3|Contrin|MSY2	17	Y-box binding protein 2
ENSG00000006059	KRT33A	3883	HGNC:6450	protein_coding	Ha-3I|Ha3I|KRTHA3A|Krt1-3|Krt13	17	keratin 33A
ENSG00000006062	MAP3K14	9020	HGNC:6853	protein_coding	FTDCR1B|HS|HSNIK|NIK	17	mitogen-activated protein kinase kinase kinase 14
ENSG00000006071	ABCC8	6833	HGNC:59	protein_coding	ABC36|HHF1|HI|HRINS|MRP8|PHHI|SUR|SUR1|TNDM2	11	ATP binding cassette subfamily C member 8
ENSG00000006116	CACNG3	10368	HGNC:1407	protein_coding		16	calcium voltage-gated channel auxiliary subunit gamma 3
ENSG00000006118	TMEM132A	54972	HGNC:31092	protein_coding	FLJ20539|GBP|HSPA5BP1	11	transmembrane protein 132A
ENSG00000006125	AP2B1	163	HGNC:563	protein_coding	ADTB2|CLAPB1	17	adaptor related protein complex 2 subunit beta 1
ENSG00000006128	TAC1	6863	HGNC:11517	protein_coding	NKNA|NPK|TAC2	7	tachykinin precursor 1
ENSG00000006194	ZNF263	10127	HGNC:13056	protein_coding	FPM315|ZKSCAN12|ZSCAN44	16	zinc finger protein 263
ENSG00000006210	CX3CL1	6376	HGNC:10647	protein_coding	ABCD-3|ABCD3|C3Xkine|CXC3|CXC3C|NTN|SCYD1	16	C-X3-C motif chemokine ligand 1
ENSG00000006282	SPATA20	64847	HGNC:26125	protein_coding	FLJ21347|SSP411|Tisp78	17	spermatogenesis associated 20
ENSG00000006283	CACNA1G	8913	HGNC:1394	protein_coding	Cav3.1|NBR13	17	calcium voltage-gated channel subunit alpha1 G
ENSG00000006327	TNFRSF12A	51330	HGNC:18152	protein_coding	CD266|FN14|TweakR	16	TNF receptor superfamily member 12A
ENSG00000006377	DLX6	1750	HGNC:2919	protein_coding		7	distal-less homeobox 6
ENSG00000006432	MAP3K9	4293	HGNC:6861	protein_coding	MEKK9|MLK1|PRKE1	14	mitogen-activated protein kinase kinase kinase 9
ENSG00000006451	RALA	5898	HGNC:9839	protein_coding	RAL	7	RAS like proto-oncogene A
ENSG00000006453	BAIAP2L1	55971	HGNC:21649	protein_coding	IRTKS	7	BAR/IMD domain containing adaptor protein 2 like 1
ENSG00000006459	KDM7A	80853	HGNC:22224	protein_coding	JHDM1D|KIAA1718	7	lysine demethylase 7A
ENSG00000006468	ETV1	2115	HGNC:3490	protein_coding	ER81	7	ETS variant transcription factor 1
ENSG00000006530	AGK	55750	HGNC:21869	protein_coding	FLJ10842|MULK	7	acylglycerol kinase
ENSG00000006534	ALDH3B1	221	HGNC:410	protein_coding	ALDH7	11	aldehyde dehydrogenase 3 family member B1
ENSG00000006555	TTC22	55001	HGNC:26067	protein_coding	FLJ20619	1	tetratricopeptide repeat domain 22
ENSG00000006576	PHTF2	57157	HGNC:13411	protein_coding	DKFZp434D166	7	putative homeodomain transcription factor 2
ENSG00000006606	CCL26	10344	HGNC:10625	protein_coding	IMAC|MIP-4a|MIP-4alpha|MIP4a|MIP4alpha|SCYA26|TSC-1|TSC1|eotaxin-3|eotaxin3	7	C-C motif chemokine ligand 26
ENSG00000006607	FARP2	9855	HGNC:16460	protein_coding	FIR|FRG|KIAA0793|PLEKHC3	2	FERM, ARH/RhoGEF and pleckstrin domain protein 2
ENSG00000006611	USH1C	10083	HGNC:12597	protein_coding	AIE-75|AIE75|DFNB18|NY-CO-37|NY-CO-38|NYCO37|NYCO38|PDZ-73|PDZ73|PDZD7C|harmonin	11	USH1 protein network component harmonin
ENSG00000006625	GGCT	79017	HGNC:21705	protein_coding	C7orf24|CRF21|GCTG|Ggc|MGC3077	7	gamma-glutamylcyclotransferase
ENSG00000006634	DBF4	10926	HGNC:17364	protein_coding	ASK|DBF4A|ZDBF1|chif	7	DBF4-CDC7 kinase regulatory subunit
ENSG00000006638	TBXA2R	6915	HGNC:11608	protein_coding		19	thromboxane A2 receptor
ENSG00000006652	IFRD1	3475	HGNC:5456	protein_coding	PC4|TIS7	7	interferon related developmental regulator 1
ENSG00000006659	LGALS14	56891	HGNC:30054	protein_coding	CLC2|PPL13	19	galectin 14
ENSG00000006695	COX10	1352	HGNC:2260	protein_coding		17	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
ENSG00000006704	GTF2IRD1	9569	HGNC:4661	protein_coding	BEN|Cream1|GTF3|MusTRD1|RBAP2|WBSCR11|WBSCR12	7	GTF2I repeat domain containing 1
ENSG00000006712	PAF1	54623	HGNC:25459	protein_coding	F23149_1|FLJ11123|PD2	19	PAF1 component of Paf1/RNA polymerase II complex
ENSG00000006715	VPS41	27072	HGNC:12713	protein_coding	HVSP41	7	VPS41 subunit of HOPS complex
ENSG00000006740	ARHGAP44	9912	HGNC:29096	protein_coding	KIAA0672|RICH-2|RICH2	17	Rho GTPase activating protein 44
ENSG00000006744	ELAC2	60528	HGNC:14198	protein_coding	FLJ10530|HPC2	17	elaC ribonuclease Z 2
ENSG00000006747	SCIN	85477	HGNC:21695	protein_coding	KIAA1905	7	scinderin
ENSG00000006756	ARSD	414	HGNC:717	protein_coding	ASD	X	arylsulfatase D
ENSG00000006757	PNPLA4	8228	HGNC:24887	protein_coding	DXS1283E|GS2|iPLA2eta	X	patatin like domain 4, phospholipase and triacylglycerol lipase
ENSG00000006788	MYH13	8735	HGNC:7571	protein_coding	MyHC-eo|MyHCeo	17	myosin heavy chain 13
ENSG00000006831	ADIPOR2	79602	HGNC:24041	protein_coding	ACDCR2|PAQR2	12	adiponectin receptor 2
ENSG00000006837	CDKL3	51265	HGNC:15483	protein_coding	NKIAMRE	5	cyclin dependent kinase like 3
ENSG00000007001	UPP2	151531	HGNC:23061	protein_coding	UDRPASE2|UP2|UPASE2	2	uridine phosphorylase 2
ENSG00000007038	PRSS21	10942	HGNC:9485	protein_coding	ESP-1|ESP1|TEST1	16	serine protease 21
ENSG00000007047	MARK4	57787	HGNC:13538	protein_coding	FLJ90097|KIAA1860|MARKL1|Nbla00650|PAR-1D|PAR1D	19	microtubule affinity regulating kinase 4
ENSG00000007062	PROM1	8842	HGNC:9454	protein_coding	AC133|CD133|CORD12|MCDR2|PROML1|RP41|STGD4	4	prominin 1
ENSG00000007080	CCDC124	115098	HGNC:25171	protein_coding	Lso2|oxs1	19	coiled-coil domain containing 124
ENSG00000007129	CEACAM21	90273	HGNC:28834	protein_coding	FLJ13540|R29124_1	19	CEA cell adhesion molecule 21
ENSG00000007168	PAFAH1B1	5048	HGNC:8574	protein_coding	LIS1|MDCR|MDS|NudF|PAFAH	17	platelet activating factor acetylhydrolase 1b regulatory subunit 1
ENSG00000007171	NOS2	4843	HGNC:7873	protein_coding	HEP-NOS|HEPNOS|NOS|NOS2A|iNOS	17	nitric oxide synthase 2
ENSG00000007174	DNAH9	1770	HGNC:2953	protein_coding	DNAH17L|DNAL1|DYH9|Dnahc9|HL-20|HL20|KIAA0357	17	dynein axonemal heavy chain 9
ENSG00000007202	BLTP2	9703	HGNC:28960	protein_coding	BCOX|BCOX1|CT101|DKFZp686M0843|FMP27|Hob|KIAA0100|MGC111488	17	bridge-like lipid transfer protein family member 2
ENSG00000007216	SLC13A2	9058	HGNC:10917	protein_coding	NaDC-1|NaDC1	17	solute carrier family 13 member 2
ENSG00000007237	GAS7	8522	HGNC:4169	protein_coding	KIAA0394|MGC1348	17	growth arrest specific 7
ENSG00000007255	TRAPPC6A	79090	HGNC:23069	protein_coding	HSPC289|MGC2650|TRS33	19	trafficking protein particle complex subunit 6A
ENSG00000007264	MATK	4145	HGNC:6906	protein_coding	CHK|CTK|DKFZp434N1212|HHYLTK|HYL|HYLTK|Lsk|MGC1708|MGC2101	19	megakaryocyte-associated tyrosine kinase
ENSG00000007306	CEACAM7	1087	HGNC:1819	protein_coding	CEA|CGM2	19	CEA cell adhesion molecule 7
ENSG00000007312	CD79B	974	HGNC:1699	protein_coding	B29|IGB|Ig-beta|Igbeta	17	CD79b molecule
ENSG00000007314	SCN4A	6329	HGNC:10591	protein_coding	HYKPP|HYPP|Nav1.4|SkM1	17	sodium voltage-gated channel alpha subunit 4
ENSG00000007341	ST7L	54879	HGNC:18441	protein_coding	FAM4B|FLJ20284|ST7R|STLR	1	suppression of tumorigenicity 7 like
ENSG00000007350	TKTL1	8277	HGNC:11835	protein_coding	TKR|TKT2	X	transketolase like 1
ENSG00000007372	PAX6	5080	HGNC:8620	protein_coding	AN|AN1|AN2|D11S812E|WAGR	11	paired box 6
ENSG00000007376	RPUSD1	113000	HGNC:14173	protein_coding	C16orf40|MGC19600|RLUCL	16	RNA pseudouridine synthase domain containing 1
ENSG00000007384	RHBDF1	64285	HGNC:20561	protein_coding	C16orf8|Dist1|EGFR-RS|EGFRRS|FLJ2235|iRhom1	16	rhomboid 5 homolog 1
ENSG00000007392	LUC7L	55692	HGNC:6723	protein_coding	LUC7B1|Luc7|hLuc7B1	16	LUC7 like
ENSG00000007402	CACNA2D2	9254	HGNC:1400	protein_coding	KIAA0558|alpha2delta-2|alpha2delta2	3	calcium voltage-gated channel auxiliary subunit alpha2delta 2
ENSG00000007516	BAIAP3	8938	HGNC:948	protein_coding	BAP3|KIAA0734	16	BAI1 associated protein 3
ENSG00000007520	TSR3	115939	HGNC:14175	protein_coding	C16orf42|MGC24381	16	TSR3 ribosome maturation factor
ENSG00000007541	PIGQ	9091	HGNC:14135	protein_coding	GPI1|hGPI1	16	phosphatidylinositol glycan anchor biosynthesis class Q
ENSG00000007545	CRAMP1	57585	HGNC:14122	protein_coding	CRAMP1L|KIAA1426	16	cramped chromatin regulator 1
ENSG00000007866	TEAD3	7005	HGNC:11716	protein_coding	ETFR-1|ETFR1|TEAD5|TEF-5|TEF5	6	TEA domain transcription factor 3
ENSG00000007908	SELE	6401	HGNC:10718	protein_coding	CD62E|ELAM|ELAM1|ESEL	1	selectin E
ENSG00000007923	DNAJC11	55735	HGNC:25570	protein_coding	FLJ10737	1	DnaJ heat shock protein family (Hsp40) member C11
ENSG00000007933	FMO3	2328	HGNC:3771	protein_coding	FMOII	1	flavin containing dimethylaniline monoxygenase 3
ENSG00000007944	MYLIP	29116	HGNC:21155	protein_coding	IDOL|MIR	6	myosin regulatory light chain interacting protein
ENSG00000007952	NOX1	27035	HGNC:7889	protein_coding	GP91-2|GP912|MOX1|NOH-1|NOH-1L|NOH1|NOH1L	X	NADPH oxidase 1
ENSG00000007968	E2F2	1870	HGNC:3114	protein_coding	E2F-2	1	E2F transcription factor 2
ENSG00000008018	PSMB1	5689	HGNC:9537	protein_coding	HC5|PMSB1	6	proteasome 20S subunit beta 1
ENSG00000008056	SYN1	6853	HGNC:11494	protein_coding	MRX50	X	synapsin I
ENSG00000008083	JARID2	3720	HGNC:6196	protein_coding	JMJ	6	jumonji and AT-rich interaction domain containing 2
ENSG00000008086	CDKL5	6792	HGNC:11411	protein_coding	CFAP247|EIEE2|STK9	X	cyclin dependent kinase like 5
ENSG00000008118	CAMK1G	57172	HGNC:14585	protein_coding	CLICKIII|VWS1|dJ272L16.1	1	calcium/calmodulin dependent protein kinase IG
ENSG00000008128	CDK11A	728642	HGNC:1730	protein_coding	CDC2L2|CDC2L3|CDK11-p110|CDK11-p46|CDK11-p58|CDK11p110|CDK11p46|CDK11p58|PITSLRE|p58GTA	1	cyclin dependent kinase 11A
ENSG00000008130	NADK	65220	HGNC:29831	protein_coding	FLJ13052|NADK1	1	NAD kinase
ENSG00000008196	TFAP2B	7021	HGNC:11743	protein_coding	AP-2beta|AP2-B|AP2B|AP2beta	6	transcription factor AP-2 beta
ENSG00000008197	TFAP2D	83741	HGNC:15581	protein_coding	AP-2delta|AP2delta|TFAP2BL1	6	transcription factor AP-2 delta
ENSG00000008226	DLEC1	9940	HGNC:2899	protein_coding	CFAP81|DLC1|FAP81	3	DLEC1 cilia and flagella associated protein
ENSG00000008256	CYTH3	9265	HGNC:9504	protein_coding	ARNO3|GRP1|PSCD3|cytohesin-3|cytohesin3	7	cytohesin 3
